12120,45.006297,38.966662,"350007, Россия, Краснодарский край, г. Краснодар, ул. Захарова, д. 25, офис 1","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
14496,45.034375,39.101122,"350080, Краснодарский край, г. Краснодар, Карасунский административный округ, ул. Сормовская, д. 181","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
15408,45.028253,38.991043,"350911, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, пос. ТЭЦ, ул. Садовая, д. 5/3","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
17232,45.020685,39.024307,"350040, Россия, Краснодарский край, г. Краснодар, ул. Ставропольская, 131, кв. 10","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
18024,45.038082,39.122556,"350912, Россия, Краснодарский край, г. Краснодар, ул. Лавочкина, д. 21","\u041f\u0430\u0448\u043a\u043e\u0432\u0441\u043a\u0438\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19176,45.013619,38.985096,"350033, Россия, Краснодарский край, г. Краснодар, улица им. Челюскина, д. 15","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19380,45.037197,38.993836,"350000, Краснодарский край, г. Краснодар, ул. Северная, д. 470","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19668,45.042986,39.043486,"350059, Россия, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. Тихорецкая, д.5/2","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19680,45.025692,38.969330,"350000, Россия, Краснодарский край, г. Краснодар, ул. Рашпилевская, д. 44/ ул. Гимназическая, д. 57","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
22500,44.999586,39.079113,"350065, Россия, Краснодарский край, г. Краснодар, ул. Снесарева, д. 2, пом. 24","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0413\u0438\u0434\u0440\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u0435\u043b\u0435\u0439, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
